Problem Names,-1=>False,-1=>True,False=>True
interview/0024,0,0,0
interview/1534,0,0,0
competition/2034,0,0,0
competition/2069,0,0,0
competition/2029,0,0,0
interview/0048,0,0,0
competition/2190,4,3,0
interview/1443,1,0,0
competition/2259,0,0,0
interview/1742,0,0,0
interview/0351,0,0,0
interview/1087,0,0,0
interview/0018,0,0,0
interview/1908,0,0,0
competition/2077,0,0,1
competition/2172,0,0,0
interview/0005,0,0,0
competition/2359,0,0,2
interview/1546,0,0,0
competition/2306,0,0,0
interview/1377,0,0,0
competition/2033,0,0,0
interview/0003,0,0,0
interview/0014,0,0,0
interview/1369,0,0,0
competition/2000,3,16,0
competition/2039,0,0,0
competition/2195,0,0,0
interview/1415,0,0,0
competition/2258,0,0,0
interview/1181,0,0,0
competition/2213,0,0,0
interview/1950,0,0,0
interview/1310,0,0,0
interview/1442,0,0,0
competition/2143,0,0,0
competition/2012,0,0,0
competition/2171,0,0,1
competition/2040,0,0,0
competition/2357,1,0,0
